
Course Index,SWEBOK Areas,SWEBOK Scores
79,Design; Construction,"{""Design"": 1.0, ""Construction"": 1.0}"
80,Foundations; Construction; Quality; Professional Practice/Ethics,"{""Foundations"": 0.42857142857142855, ""Construction"": 0.14285714285714285, ""Quality"": 0.14285714285714285, ""Professional Practice/Ethics"": 0.2857142857142857}"
81,Foundations; Testing; Quality; Professional Practice/Ethics,"{""Foundations"": 0.25, ""Testing"": 0.25, ""Quality"": 0.25, ""Professional Practice/Ethics"": 0.25}"
82,Construction; Models & Methods; Design,"{""Construction"": 0.3, ""Models & Methods"": 0.2, ""Design"": 0.1}"
83,Requirements; Models & Methods; Construction,"{""Requirements"": 0.25, ""Models & Methods"": 0.5, ""Construction"": 0.5}"
84,Foundations; Design; Construction; Process,"{""Foundations"": 0.6666666666666666, ""Design"": 0.6666666666666666, ""Construction"": 0.3333333333333333, ""Process"": 0.3333333333333333}"
85,Construction; Design; Testing,"{""Construction"": 0.5, ""Design"": 0.25, ""Testing"": 0.25}"
86,Design; Construction,"{""Design"": 0.25, ""Construction"": 0.5}"
87,Construction,"{""Construction"": 0.3333333333333333}"
88,Requirements,"{""Requirements"": 0.3333333333333333}"
89,Foundations; Models & Methods,"{""Foundations"": 0.6666666666666666, ""Models & Methods"": 0.3333333333333333}"
90,Construction,"{""Construction"": 1.0}"
91,Construction; Design,"{""Construction"": 1.0, ""Design"": 0.3333333333333333}"
92,Construction; Foundations,"{""Construction"": 1.0, ""Foundations"": 0.5}"
93,Construction,"{""Construction"": 1.0}"
94,Construction,"{""Construction"": 1.0}"
95,Construction; Design,"{""Construction"": 0.3333333333333333, ""Design"": 0.3333333333333333}"
96,Construction,"{""Construction"": 1.0}"
97,Construction,"{""Construction"": 1.0}"
98,Design; Construction,"{""Design"": 1.0, ""Construction"": 1.0}"
99,Construction; Design; Engineering Management; Professional Practice/Ethics,"{""Construction"": 0.5, ""Design"": 0.16666666666666666, ""Engineering Management"": 0.16666666666666666, ""Professional Practice/Ethics"": 0.16666666666666666}"
100,Construction; Design; Engineering Management; Professional Practice/Ethics,"{""Construction"": 0.5, ""Design"": 0.16666666666666666, ""Engineering Management"": 0.16666666666666666, ""Professional Practice/Ethics"": 0.16666666666666666}"
101,Construction; Requirements; Models & Methods,"{""Construction"": 0.2857142857142857, ""Requirements"": 0.14285714285714285, ""Models & Methods"": 0.14285714285714285}"
102,Construction; Professional Practice/Ethics,"{""Construction"": 0.3333333333333333, ""Professional Practice/Ethics"": 0.16666666666666666}"
103,Construction; Testing,"{""Construction"": 0.75, ""Testing"": 0.25}"
104,Construction,"{""Construction"": 0.5}"
105,Construction; Design; Process,"{""Construction"": 0.5, ""Design"": 0.25, ""Process"": 0.25}"
106,Construction; Foundations; Quality; Professional Practice/Ethics; Design,"{""Construction"": 0.5, ""Foundations"": 0.3333333333333333, ""Quality"": 0.16666666666666666, ""Professional Practice/Ethics"": 0.16666666666666666, ""Design"": 0.16666666666666666}"
107,Construction; Design; Foundations; Engineering Management; Quality; Professional Practice/Ethics; Models & Methods,"{""Construction"": 0.7777777777777778, ""Design"": 0.4444444444444444, ""Foundations"": 0.1111111111111111, ""Engineering Management"": 0.1111111111111111, ""Quality"": 0.1111111111111111, ""Professional Practice/Ethics"": 0.1111111111111111, ""Models & Methods"": 0.1111111111111111}"
108,Design; Construction,"{""Design"": 1.0, ""Construction"": 1.0}"
109,Construction,"{""Construction"": 1.0}"
110,Construction,"{""Construction"": 0.4}"
111,Construction; Professional Practice/Ethics,"{""Construction"": 0.5, ""Professional Practice/Ethics"": 0.5}"
112,Construction; Quality; Professional Practice/Ethics,"{""Construction"": 1.0, ""Quality"": 0.3333333333333333, ""Professional Practice/Ethics"": 0.6666666666666666}"
113,Construction; Design; Foundations,"{""Construction"": 0.3333333333333333, ""Design"": 0.3333333333333333, ""Foundations"": 0.3333333333333333}"
114,Construction; Requirements,"{""Construction"": 1.0, ""Requirements"": 0.5}"
115,Construction; Foundations; Models & Methods; Design,"{""Construction"": 0.3333333333333333, ""Foundations"": 0.3333333333333333, ""Models & Methods"": 0.3333333333333333, ""Design"": 0.16666666666666666}"
116,,{}
117,Construction; Testing; Engineering Management; Professional Practice/Ethics; Quality,"{""Construction"": 0.3333333333333333, ""Testing"": 0.16666666666666666, ""Engineering Management"": 0.16666666666666666, ""Professional Practice/Ethics"": 0.16666666666666666, ""Quality"": 0.16666666666666666}"
118,Design; Construction; Process,"{""Design"": 0.5, ""Construction"": 0.5, ""Process"": 0.5}"
119,Construction; Foundations,"{""Construction"": 1.0, ""Foundations"": 1.0}"
120,Construction; Foundations,"{""Construction"": 1.0, ""Foundations"": 1.0}"
121,Requirements; Construction,"{""Requirements"": 0.3333333333333333, ""Construction"": 1.0}"
122,Construction; Design; Testing,"{""Construction"": 0.6666666666666666, ""Design"": 0.3333333333333333, ""Testing"": 0.3333333333333333}"
123,Construction; Foundations; Economics,"{""Construction"": 0.5, ""Foundations"": 0.25, ""Economics"": 0.25}"
124,Construction,"{""Construction"": 1.0}"
125,Construction; Design,"{""Construction"": 0.8, ""Design"": 0.4}"
126,Construction,"{""Construction"": 0.75}"
127,Construction; Design; Models & Methods,"{""Construction"": 1.0, ""Design"": 0.2, ""Models & Methods"": 0.2}"
128,Construction; Requirements; Design,"{""Construction"": 0.4, ""Requirements"": 0.2, ""Design"": 0.2}"
129,Design; Requirements; Models & Methods; Construction,"{""Design"": 0.8, ""Requirements"": 0.2, ""Models & Methods"": 0.2, ""Construction"": 0.4}"
130,Construction; Design; Foundations; Requirements; Models & Methods; Quality; Professional Practice/Ethics,"{""Construction"": 0.8571428571428571, ""Design"": 0.14285714285714285, ""Foundations"": 0.14285714285714285, ""Requirements"": 0.14285714285714285, ""Models & Methods"": 0.2857142857142857, ""Quality"": 0.14285714285714285, ""Professional Practice/Ethics"": 0.14285714285714285}"
131,Foundations; Models & Methods; Design; Construction; Testing,"{""Foundations"": 0.16666666666666666, ""Models & Methods"": 0.5, ""Design"": 0.16666666666666666, ""Construction"": 0.3333333333333333, ""Testing"": 0.16666666666666666}"
132,Construction; Design; Testing; Models & Methods,"{""Construction"": 0.8, ""Design"": 0.2, ""Testing"": 0.2, ""Models & Methods"": 0.2}"
133,Design; Construction,"{""Design"": 0.3333333333333333, ""Construction"": 0.3333333333333333}"
134,Models & Methods; Construction; Testing; Foundations,"{""Models & Methods"": 0.5, ""Construction"": 0.5, ""Testing"": 0.5, ""Foundations"": 0.25}"
135,Construction; Design,"{""Construction"": 0.4, ""Design"": 0.2}"
136,Construction,"{""Construction"": 1.0}"
137,Design; Construction; Process,"{""Design"": 1.0, ""Construction"": 0.3333333333333333, ""Process"": 0.3333333333333333}"
138,Construction; Requirements; Models & Methods; Design,"{""Construction"": 0.3333333333333333, ""Requirements"": 0.16666666666666666, ""Models & Methods"": 0.16666666666666666, ""Design"": 0.5}"
139,Construction; Design; Process; Testing; Engineering Management; Professional Practice/Ethics; Quality,"{""Construction"": 0.5, ""Design"": 0.16666666666666666, ""Process"": 0.16666666666666666, ""Testing"": 0.16666666666666666, ""Engineering Management"": 0.16666666666666666, ""Professional Practice/Ethics"": 0.3333333333333333, ""Quality"": 0.3333333333333333}"
140,Construction; Models & Methods; Maintenance; Design; Process,"{""Construction"": 0.6, ""Models & Methods"": 0.4, ""Maintenance"": 0.2, ""Design"": 0.2, ""Process"": 0.2}"
141,Construction; Models & Methods; Design; Requirements; Testing,"{""Construction"": 0.4, ""Models & Methods"": 0.2, ""Design"": 0.4, ""Requirements"": 0.2, ""Testing"": 0.2}"
142,Construction,"{""Construction"": 0.5}"
143,Foundations; Construction; Design; Models & Methods,"{""Foundations"": 0.2, ""Construction"": 0.6, ""Design"": 0.2, ""Models & Methods"": 0.2}"
144,Construction; Foundations; Design; Process,"{""Construction"": 0.75, ""Foundations"": 0.25, ""Design"": 0.5, ""Process"": 0.25}"
145,Construction,"{""Construction"": 1.0}"
146,Design; Construction; Testing,"{""Design"": 0.25, ""Construction"": 0.75, ""Testing"": 0.25}"
147,Construction; Requirements; Design,"{""Construction"": 0.5, ""Requirements"": 0.25, ""Design"": 0.25}"
148,Design; Construction; Testing,"{""Design"": 0.3333333333333333, ""Construction"": 0.6666666666666666, ""Testing"": 0.3333333333333333}"
149,Foundations; Design; Construction; Quality; Professional Practice/Ethics,"{""Foundations"": 0.25, ""Design"": 0.25, ""Construction"": 0.25, ""Quality"": 0.25, ""Professional Practice/Ethics"": 0.25}"
150,Requirements; Design; Construction,"{""Requirements"": 0.25, ""Design"": 0.25, ""Construction"": 0.25}"
151,Construction,"{""Construction"": 0.6666666666666666}"
152,Design; Construction,"{""Design"": 0.5, ""Construction"": 0.5}"
153,Construction,"{""Construction"": 1.0}"
154,Design; Construction; Requirements,"{""Design"": 0.3333333333333333, ""Construction"": 0.3333333333333333, ""Requirements"": 0.3333333333333333}"
155,Models & Methods; Construction,"{""Models & Methods"": 0.5, ""Construction"": 0.5}"
156,Design; Construction; Foundations; Professional Practice/Ethics,"{""Design"": 0.16666666666666666, ""Construction"": 0.3333333333333333, ""Foundations"": 0.3333333333333333, ""Professional Practice/Ethics"": 0.16666666666666666}"
157,Testing; Foundations; Construction,"{""Testing"": 0.4, ""Foundations"": 0.6, ""Construction"": 0.6}"
158,Construction; Testing,"{""Construction"": 0.4, ""Testing"": 0.2}"
159,Design; Construction; Process; Testing; Quality,"{""Design"": 0.6, ""Construction"": 0.6, ""Process"": 0.2, ""Testing"": 0.2, ""Quality"": 0.2}"
160,Design; Construction,"{""Design"": 0.25, ""Construction"": 0.75}"
161,Construction; Requirements,"{""Construction"": 0.5, ""Requirements"": 0.5}"
162,Construction,"{""Construction"": 1.0}"
163,Design; Construction; Process,"{""Design"": 0.75, ""Construction"": 0.5, ""Process"": 0.25}"
164,Construction,"{""Construction"": 1.0}"
165,Construction,"{""Construction"": 0.16666666666666666}"
166,Design; Construction,"{""Design"": 1.0, ""Construction"": 1.0}"
167,Construction; Design,"{""Construction"": 1.0, ""Design"": 0.5}"
168,Design; Construction,"{""Design"": 1.0, ""Construction"": 1.0}"
169,Construction,"{""Construction"": 1.0}"
170,Design; Construction; Requirements,"{""Design"": 0.25, ""Construction"": 0.75, ""Requirements"": 0.25}"
171,Foundations,"{""Foundations"": 0.3333333333333333}"
172,Construction; Professional Practice/Ethics,"{""Construction"": 1.0, ""Professional Practice/Ethics"": 0.3333333333333333}"
173,Construction,"{""Construction"": 0.5}"
174,Design; Construction; Requirements; Models & Methods,"{""Design"": 0.3333333333333333, ""Construction"": 0.3333333333333333, ""Requirements"": 0.16666666666666666, ""Models & Methods"": 0.5}"
175,Models & Methods; Design; Construction; Foundations; Requirements; Testing,"{""Models & Methods"": 0.42857142857142855, ""Design"": 0.2857142857142857, ""Construction"": 0.5714285714285714, ""Foundations"": 0.14285714285714285, ""Requirements"": 0.14285714285714285, ""Testing"": 0.14285714285714285}"
176,Design; Construction; Process; Testing,"{""Design"": 0.6666666666666666, ""Construction"": 1.0, ""Process"": 0.3333333333333333, ""Testing"": 0.3333333333333333}"
177,Design; Construction; Process,"{""Design"": 0.6666666666666666, ""Construction"": 0.3333333333333333, ""Process"": 0.3333333333333333}"
178,Construction; Design; Process,"{""Construction"": 0.6666666666666666, ""Design"": 0.3333333333333333, ""Process"": 0.3333333333333333}"
179,Construction; Process; Design,"{""Construction"": 0.6666666666666666, ""Process"": 0.6666666666666666, ""Design"": 0.3333333333333333}"
180,Construction; Design; Testing,"{""Construction"": 0.25, ""Design"": 0.25, ""Testing"": 0.25}"
181,Design; Construction; Requirements; Models & Methods; Foundations,"{""Design"": 0.5, ""Construction"": 0.75, ""Requirements"": 0.25, ""Models & Methods"": 0.25, ""Foundations"": 0.25}"
182,Design; Construction; Models & Methods; Requirements,"{""Design"": 0.5, ""Construction"": 0.75, ""Models & Methods"": 0.5, ""Requirements"": 0.25}"
183,Construction; Models & Methods; Design,"{""Construction"": 0.75, ""Models & Methods"": 0.25, ""Design"": 0.5}"
184,Testing; Design; Models & Methods,"{""Testing"": 0.3333333333333333, ""Design"": 0.3333333333333333, ""Models & Methods"": 0.16666666666666666}"
